age,height_cm,weight_kg,nationality,club,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,average_skill,average_attacking,average_movement,average_power,average_mentality,average_defending,average_goalkeeping,short_name,long_name
30,178,72,Spain,Real Oviedo,6000,"LB, LWB, LM",71.0,52.0,66.0,66.0,64.0,74.0,65.0,55.6,69.2,72.4,62.333333333333336,64.66666666666667,9.6,Mossa,José María Angresola Jiménez
32,178,73,United States,Sporting Kansas City,5000,RB,64.0,70.0,74.0,69.0,66.0,72.0,72.8,67.8,67.8,74.8,70.5,67.0,12.6,G. Zusi,Graham Zusi
28,176,68,Argentina,Venezia FC,3000,CM,68.0,56.0,68.0,71.0,65.0,68.0,66.0,58.6,70.0,68.4,63.5,66.0,9.4,F. Zuculini,Franco Zuculini
29,190,84,Argentina,Deportivo Toluca,13000,CB,52.0,33.0,53.0,51.0,67.0,75.0,47.2,43.0,54.2,62.0,52.5,66.0,10.8,G. Sauro,Gastón Sauro
28,186,77,Iceland,SV Darmstadt 98,11000,"CDM, CB, CM",68.0,53.0,60.0,60.0,68.0,82.0,56.8,54.0,65.2,75.6,63.166666666666664,69.66666666666667,9.6,V. Pálsson,Guðlaugur Victor Pálsson
28,177,76,Germany,SC Freiburg,14000,"LM, RM",65.0,58.0,69.0,74.0,34.0,59.0,67.8,62.4,71.4,56.4,59.833333333333336,28.333333333333332,11.6,M. Terrazzino,Marco Terrazzino
28,185,86,Germany,Karlsruher SC,10000,ST,79.0,68.0,56.0,64.0,23.0,78.0,53.0,63.2,69.8,73.0,59.666666666666664,13.0,9.6,M. Pourié,Marvin Pourié
28,172,65,Brazil,Sanfrecce Hiroshima,8000,"RM, CAM, ST",92.0,62.0,60.0,76.0,40.0,70.0,66.2,60.6,80.0,71.0,60.333333333333336,36.0,11.0,Rhayner,Rhayner Santos Nascimento
31,183,78,Egypt,Aston Villa,25000,"RB, RM",69.0,64.0,70.0,69.0,66.0,72.0,70.6,67.2,69.2,73.6,64.5,63.333333333333336,9.4,A. Elmohamady,Ahmed Eissa  El Mohamady Abdel Fattah
29,180,76,Mexico,Club Atlas,12000,RM,73.0,63.0,66.0,71.0,43.0,65.0,61.8,60.8,67.6,68.6,53.0,42.333333333333336,11.2,J. Isijara,Jesús Antonio Isijara Rodríguez
28,178,74,DR Congo,Alanyaspor,8000,"LB, LM",84.0,45.0,66.0,74.0,63.0,73.0,63.6,55.0,77.6,67.6,65.5,62.333333333333336,11.0,F. N'Sakala,Fabrice N'Sakala
31,176,70,Japan,Kashima Antlers,5000,"RB, RWB",63.0,46.0,69.0,70.0,70.0,62.0,63.4,55.6,66.8,62.4,61.833333333333336,71.66666666666667,14.0,A. Uchida,内田 篤人
33,176,71,Korea Republic,Jeju United FC,4000,"CM, CAM",57.0,67.0,71.0,67.0,61.0,63.0,68.2,63.2,64.0,66.8,65.16666666666667,59.666666666666664,11.4,Kwon Soon Hyung,권순형 权纯亨
28,174,74,Australia,Sydney FC,6000,RB,71.0,60.0,64.0,67.0,65.0,79.0,60.2,58.4,71.6,75.4,65.33333333333333,66.0,12.8,R. Grant,Rhyan Grant
31,178,77,Brazil,Jeju United FC,4000,ST,70.0,69.0,70.0,71.0,42.0,63.0,71.0,65.4,67.6,64.6,64.0,35.333333333333336,9.6,Magno,Magno Damasceno Santos da Cruz
27,186,82,England,Birmingham City,9000,CM,54.0,67.0,69.0,65.0,65.0,73.0,71.0,68.6,57.6,72.8,68.5,63.333333333333336,11.8,G. Gardner,Gary Gardner
31,183,78,Uruguay,KV Kortrijk,8000,"CB, RB",64.0,44.0,66.0,62.0,71.0,70.0,63.4,55.6,64.6,65.6,66.66666666666667,71.33333333333333,11.6,G. Kagelmacher,Gary Kagelmacher
29,179,72,Germany,Hannover 96,15000,RB,65.0,51.0,70.0,70.0,70.0,64.0,65.8,60.2,68.6,63.0,62.166666666666664,71.33333333333333,9.8,S. Jung,Sebastian Jung
33,182,74,Venezuela,CFR Cluj,8000,ST,69.0,67.0,65.0,70.0,26.0,74.0,65.0,67.0,69.2,73.4,60.666666666666664,21.0,10.4,M. Rondón,Mario Rondón
27,173,69,DR Congo,En Avant de Guingamp,6000,"LM, CAM, RM",79.0,69.0,65.0,73.0,25.0,63.0,69.4,57.8,76.8,67.2,57.166666666666664,21.666666666666668,12.4,Y. Ngbakoto,Yeni Ngbakoto
29,190,85,Albania,Djurgårdens IF,4000,CM,62.0,66.0,74.0,70.0,50.0,66.0,74.0,65.8,56.4,65.4,64.5,44.333333333333336,9.0,A. Ajdarević,Astrit Ajdarević
33,179,81,Argentina,Racing Club,10000,"RB, RWB",72.0,49.0,63.0,62.0,70.0,77.0,64.2,56.4,67.2,70.8,64.83333333333333,72.0,11.0,I. Pillud,Iván Pillud
27,173,73,Turkey,Galatasaray SK,28000,"LB, LM",84.0,67.0,68.0,75.0,64.0,63.0,70.4,63.0,78.6,71.6,65.0,66.0,10.2,O. Bayram,Ömer Bayram
29,196,93,Germany,FC Augsburg,10000,GK,,,,,,,17.2,18.2,44.2,45.2,28.666666666666668,14.0,67.6,F. Giefer,Fabian Giefer
31,180,79,Germany,SV Sandhausen,4000,"RB, RWB",66.0,58.0,64.0,63.0,69.0,72.0,60.8,61.2,65.6,72.0,58.666666666666664,69.66666666666667,8.4,P. Klingmann,Philipp Klingmann
28,175,71,Argentina,Rosario Central,10000,"LM, CM",81.0,64.0,68.0,70.0,60.0,68.0,70.8,59.2,75.6,71.4,67.0,61.0,10.2,N. Colazo,Nicolás Colazo
28,183,73,Switzerland,Universitatea Craiova,6000,RB,71.0,43.0,58.0,66.0,68.0,74.0,59.0,54.8,69.6,67.6,60.5,68.0,8.4,I. Martić,Ivan Martić
28,185,77,Guinea,KV Oostende,10000,ST,68.0,67.0,57.0,67.0,28.0,68.0,57.2,64.6,67.8,69.8,59.666666666666664,20.333333333333332,12.0,I. Sylla,Idrissa Sylla
29,178,70,Netherlands,Seattle Sounders FC,5000,"RB, LB",72.0,57.0,65.0,68.0,67.0,73.0,62.4,63.0,71.4,71.4,62.833333333333336,67.0,9.8,K. Leerdam,Kelvin Leerdam
29,192,89,Serbia,Montpellier HSC,19000,ST,65.0,73.0,48.0,55.0,32.0,75.0,48.0,60.8,54.6,70.6,58.333333333333336,23.333333333333332,9.0,P. Škuletić,Petar Škuletić
30,183,75,Italy,Lecce,9000,LB,82.0,50.0,56.0,61.0,65.0,78.0,50.6,51.8,74.8,76.0,54.833333333333336,65.66666666666667,10.8,M. Calderoni,Marco Calderoni
31,192,78,Portugal,Moreirense FC,5000,GK,,,,,,,16.8,16.2,51.4,48.4,25.166666666666668,12.333333333333334,69.4,Pedro Trigueira,Pedro José  da Silva Trigueira
30,185,78,Spain,CD Numancia,6000,CDM,46.0,41.0,62.0,63.0,69.0,76.0,59.6,53.4,59.2,63.4,59.833333333333336,68.0,9.8,Escassi,Alberto Escassi Oliva
27,175,74,England,Wigan Athletic,10000,LM,80.0,67.0,68.0,71.0,48.0,65.0,69.2,63.2,76.2,68.0,62.5,48.333333333333336,12.6,M. Jacobs,Michael Jacobs
27,180,70,Northern Ireland,Sunderland,9000,ST,76.0,70.0,48.0,65.0,32.0,70.0,51.2,59.6,73.0,72.2,56.333333333333336,27.666666666666668,11.8,W. Grigg,Will Grigg
32,182,77,Japan,Urawa Red Diamonds,7000,"CB, LB",67.0,44.0,61.0,64.0,67.0,76.0,56.2,51.4,65.8,68.0,58.5,68.66666666666667,11.4,T. Makino,槙野 智章
30,183,80,Senegal,Royal Antwerp FC,7000,"LM, RM",78.0,67.0,63.0,69.0,55.0,75.0,61.0,61.6,70.8,75.8,67.16666666666667,53.666666666666664,8.6,A. Baby,Amara Baby
29,177,75,Germany,Fortuna Düsseldorf,15000,LB,64.0,46.0,64.0,69.0,71.0,65.0,61.8,54.4,66.0,63.2,62.333333333333336,72.0,11.8,D. Contento,Diego Armando Valentin Contento
27,183,76,Belgium,Royal Antwerp FC,7000,"CAM, RM, LM",44.0,64.0,74.0,69.0,47.0,67.0,73.0,60.4,56.2,67.8,67.5,44.666666666666664,10.4,G. Hairemans,Geoffry Hairemans
32,195,91,Japan,FC Tokyo,5000,GK,,,,,,,28.4,22.6,49.0,50.8,28.833333333333332,14.666666666666666,69.6,A. Hayashi,林 昭大
28,194,87,Croatia,SV Sandhausen,4000,"CDM, CB, CM",50.0,56.0,61.0,58.0,69.0,76.0,53.0,57.0,48.6,66.6,58.833333333333336,66.66666666666667,13.2,I. Paurević,Ivan Paurević
28,180,74,Switzerland,Wisła Płock,4000,"LM, RM",86.0,62.0,65.0,72.0,46.0,70.0,67.2,60.0,78.2,70.8,58.166666666666664,46.666666666666664,7.4,A. Stevanović,Alen Stevanović
28,186,86,Germany,FC Erzgebirge Aue,6000,ST,70.0,70.0,56.0,65.0,38.0,75.0,57.6,64.6,68.6,72.8,60.666666666666664,35.0,13.0,P. Testroet,Pascal Testroet
31,180,77,Paraguay,Paraguay,0,"CM, RM",67.0,66.0,69.0,70.0,65.0,77.0,67.4,65.2,70.0,74.0,66.33333333333333,66.66666666666667,12.4,R. Rojas,Juan Rodrigo Rojas Ovelar
27,177,73,Italy,Frosinone,3000,"CM, CDM",70.0,59.0,67.0,72.0,55.0,65.0,65.4,55.4,74.0,68.4,64.33333333333333,54.333333333333336,10.0,R. Maiello,Raffaele Maiello
33,188,86,United States,Portland Timbers,4000,GK,,,,,,,24.4,20.0,45.4,42.2,33.666666666666664,14.333333333333334,68.0,S. Clark,Steve Clark
33,178,77,Argentina,Club Atlético Banfield,8000,"LB, LWB, LM",73.0,63.0,64.0,68.0,68.0,79.0,66.8,61.4,70.4,74.6,69.33333333333333,67.66666666666667,10.6,S. Dubarbier,Sebastián Dubarbier
29,174,69,Ivory Coast,FC Sion,16000,"CB, CDM",71.0,51.0,62.0,69.0,67.0,77.0,59.8,51.2,75.8,71.0,67.33333333333333,66.33333333333333,12.4,X. Kouassi,Xavier Laglais Kouassi
27,173,68,United States,FC Cincinnati,5000,LB,70.0,54.0,66.0,69.0,68.0,72.0,64.6,59.6,71.0,65.8,66.5,68.33333333333333,9.4,G. Garza,Gregory Martin Garza Early
29,172,75,Mexico,Monarcas Morelia,7000,"RM, ST",84.0,62.0,63.0,72.0,41.0,69.0,64.4,59.6,75.0,68.2,63.5,34.666666666666664,12.4,L. Mendoza,Luis Ángel Mendoza Escamilla
28,189,87,Guinea,Atlanta United,5000,CB,62.0,42.0,59.0,56.0,67.0,79.0,58.6,52.2,59.6,71.2,55.833333333333336,67.66666666666667,9.6,F. Pogba,Florentin Pogba
28,178,72,United States,LA Galaxy,5000,"CM, CAM",70.0,65.0,69.0,71.0,65.0,65.0,68.6,65.8,70.4,68.4,63.833333333333336,63.0,10.6,J. Corona,Joe Benny Corona Crespín
29,177,78,Mexico,Cruz Azul,13000,RB,80.0,47.0,69.0,74.0,64.0,75.0,64.2,59.8,72.2,64.8,64.83333333333333,65.0,9.4,J. Madueña,José Antonio Madueña López
29,203,87,Ivory Coast,CFR Cluj,9000,ST,48.0,71.0,51.0,63.0,37.0,71.0,49.0,63.6,45.4,64.4,61.666666666666664,27.0,11.8,L. Traoré,Lacina Traoré
32,195,84,Ecuador,Vélez Sarsfield,7000,GK,,,,,,,20.6,18.0,41.2,43.0,32.166666666666664,17.333333333333332,68.6,A. Domínguez,Alexander Domínguez Carabalí
29,185,83,Italy,US Cremonese,3000,CB,58.0,19.0,43.0,56.0,71.0,72.0,39.0,38.2,64.8,56.4,46.666666666666664,72.0,11.8,A. Caracciolo,Antonio Aldo Caracciolo
29,175,65,Albania,FC Sion,16000,"LWB, LM, LB",80.0,65.0,68.0,68.0,63.0,67.0,65.0,64.4,75.6,68.2,66.0,64.33333333333333,10.8,E. Lenjani,Ermir Lenjani
28,170,71,Ivory Coast,Kayserispor,8000,"CDM, RB",70.0,55.0,66.0,69.0,70.0,69.0,59.2,57.2,73.0,62.8,66.16666666666667,71.66666666666667,10.0,B. Dja Djédjé,Brice Dja Djédjé
30,186,83,Germany,VfL Bochum 1848,8000,GK,,,,,,,31.2,22.0,56.2,48.4,38.666666666666664,17.0,69.0,M. Riemann,Manuel Riemann
28,188,85,Germany,1. FC Heidenheim 1846,8000,CB,52.0,38.0,45.0,43.0,70.0,73.0,39.2,44.0,57.2,60.6,47.833333333333336,70.66666666666667,14.2,T. Beermann,Timo Beermann
33,187,77,Germany,Kayserispor,8000,"CDM, CB",44.0,55.0,60.0,61.0,69.0,75.0,60.2,55.4,51.6,73.2,62.0,66.66666666666667,13.2,S. Çinaz,Şamil Çinaz
30,184,77,Germany,SV Darmstadt 98,11000,"CM, RM, CAM",69.0,66.0,74.0,72.0,41.0,70.0,73.6,64.4,70.0,72.6,63.666666666666664,39.0,13.0,T. Kempe,Tobias Kempe
34,188,79,Brazil,US Cremonese,2000,CB,45.0,23.0,36.0,51.0,69.0,72.0,36.8,35.6,52.8,56.2,46.333333333333336,67.66666666666667,12.0,Claiton,Claiton Machado dos Santos
28,180,75,Mexico,Club Tijuana,12000,"LM, ST, RM",78.0,66.0,66.0,68.0,39.0,69.0,65.4,66.4,69.4,71.0,60.666666666666664,34.0,12.8,A. Sepúlveda,Ángel Baltazar Sepúlveda Sánchez
30,172,64,Spain,RCD Mallorca,14000,"RM, ST, LM",79.0,69.0,59.0,77.0,26.0,58.0,59.6,61.8,83.2,66.8,54.0,20.333333333333332,9.8,Aridai,Aridai Cabrera Suárez
32,175,63,Poland,FC St. Pauli,11000,"LM, RM",88.0,63.0,62.0,73.0,37.0,53.0,60.8,62.0,82.4,61.8,59.833333333333336,36.333333333333336,11.2,W. Sobota,Waldemar Sobota
27,171,65,Curacao,Al Faisaly,14000,"LM, CM",79.0,64.0,66.0,70.0,58.0,79.0,66.4,63.0,74.0,76.2,61.333333333333336,57.666666666666664,14.6,R. Bonevacia,Roly Bonevacia
28,179,72,Netherlands,SC Heerenveen,6000,"RB, CB",76.0,58.0,67.0,67.0,67.0,68.0,71.2,63.6,71.6,70.2,61.666666666666664,67.0,10.8,R. van Rhijn,Ricardo van Rhijn
28,175,72,Netherlands,Derby County,16000,"RM, LM, RW",91.0,60.0,61.0,73.0,34.0,59.0,62.2,56.8,82.8,58.2,57.333333333333336,25.333333333333332,11.2,F. Jozefzoon,Florian Jozefzoon
30,183,77,Brazil,Gil Vicente FC,6000,"CDM, CM",58.0,57.0,62.0,67.0,68.0,78.0,61.4,55.4,61.6,73.0,62.5,70.33333333333333,13.0,Soares,William Soares da Silva
29,182,67,Netherlands,Kayserispor,9000,"CM, CDM",66.0,66.0,65.0,68.0,66.0,72.0,67.6,61.0,67.0,72.4,66.5,66.33333333333333,13.6,B. Rienstra,Ben Rienstra
28,180,76,Belgium,Standard de Liège,9000,RB,74.0,56.0,61.0,71.0,68.0,71.0,65.8,56.0,71.4,70.0,62.833333333333336,69.66666666666667,10.6,L. Cavanda,Luis Pedro Cavanda
29,168,63,Belgium,KV Kortrijk,8000,"LB, LM",70.0,59.0,66.0,72.0,63.0,56.0,62.6,56.2,76.4,64.6,64.33333333333333,66.33333333333333,12.6,K. D'Haene,Kristof D'Haene
32,180,76,Korea Republic,Jeonbuk Hyundai Motors,6000,RB,75.0,54.0,65.0,63.0,67.0,68.0,59.0,57.2,74.4,66.0,63.0,69.33333333333333,12.4,Lee Yong,이용 李镕
29,191,87,Argentina,Club Necaxa,9000,ST,64.0,66.0,49.0,66.0,29.0,76.0,58.2,58.6,64.0,71.2,58.666666666666664,21.333333333333332,10.8,M. Quiroga,Mauro Quiroga
31,183,76,Italy,Frosinone,3000,"RB, LB, RM",80.0,59.0,64.0,68.0,66.0,74.0,61.4,60.4,76.4,70.8,64.0,67.33333333333333,12.0,A. Salvi,Alessandro Salvi
30,183,73,France,Clermont Foot 63,4000,CB,52.0,31.0,40.0,50.0,70.0,76.0,43.4,39.0,56.2,65.0,47.666666666666664,69.33333333333333,8.8,F. Ogier,Florent Ogier
30,171,67,Germany,Brøndby IF,12000,"CM, CAM, CDM",55.0,70.0,70.0,71.0,56.0,65.0,71.2,65.4,68.6,69.8,68.16666666666667,55.0,10.4,D. Kaiser,Dominik Kaiser
27,179,76,Scotland,Hibernian,5000,"CAM, LM, CM",66.0,65.0,68.0,71.0,47.0,58.0,67.8,58.4,69.8,65.8,60.5,53.0,10.6,S. Allan,Scott Allan
28,190,81,Italy,Lecce,11000,ST,54.0,67.0,35.0,62.0,30.0,80.0,42.8,60.0,51.6,72.2,54.0,21.666666666666668,9.2,A. La Mantia,Andrea La Mantia
28,182,75,Spain,Real Sporting de Gijón,7000,"ST, LM",73.0,71.0,60.0,68.0,41.0,70.0,62.4,64.4,69.8,70.8,58.833333333333336,36.333333333333336,10.6,Álvaro Vázquez,Álvaro Vázquez García
27,178,74,DR Congo,Huddersfield Town,20000,"RW, RM",77.0,69.0,63.0,72.0,43.0,72.0,61.8,68.4,74.0,73.0,60.5,41.333333333333336,9.4,E. Kachunga,Elias Kachunga
30,181,76,Hungary,Hungary,0,LB,75.0,28.0,56.0,67.0,68.0,68.0,52.6,47.4,71.8,50.2,57.333333333333336,70.66666666666667,11.8,M. Korhut,Mihály Korhut
27,188,75,Hungary,Sporting Kansas City,5000,CB,67.0,39.0,54.0,54.0,66.0,76.0,44.6,56.4,62.2,62.8,44.666666666666664,67.66666666666667,10.4,B. Baráth,Botond Baráth
27,186,75,Italy,Pordenone,2000,CB,66.0,27.0,36.0,50.0,72.0,67.0,38.0,32.0,63.0,59.0,47.833333333333336,73.0,9.4,M. Camporese,Michele Camporese
27,183,77,Puerto Rico,Portland Timbers,5000,"LB, RB, CB",71.0,46.0,64.0,67.0,69.0,74.0,58.0,55.6,66.8,65.2,59.833333333333336,71.0,11.4,Z. Valentin,Zarek  Valentin
32,185,85,Iceland,Vålerenga Fotball,4000,"ST, CAM",68.0,68.0,59.0,64.0,61.0,72.0,57.8,66.0,66.2,71.8,60.666666666666664,57.666666666666664,13.0,M. Vilhjálmsson,Matthías Vilhjálmsson
27,178,73,Germany,1. FC Union Berlin,22000,"RW, RM, LW",74.0,69.0,65.0,75.0,28.0,60.0,69.0,61.8,77.2,68.8,54.833333333333336,25.333333333333332,11.6,A. Gogia,Akaki Gogia
31,182,79,Korea Republic,Central Coast Mariners,2000,CDM,71.0,59.0,64.0,64.0,68.0,74.0,63.6,57.8,67.8,70.4,64.16666666666667,68.33333333333333,12.2,Kim Eun Sun,김은선 金殷善
30,171,69,Ghana,Al Hazem,8000,"RM, LM",93.0,61.0,61.0,69.0,43.0,59.0,53.0,61.6,84.0,66.2,56.0,41.666666666666664,10.6,E. Asante,Ernest Kwabena Asante
28,188,80,Israel,Celtic,25000,"RB, CB",85.0,40.0,61.0,64.0,66.0,69.0,59.2,54.8,68.6,59.4,54.5,66.0,12.0,H. Abd Elhamed,Hatem Abd Elhamed
26,170,70,Republic of Ireland,Hibernian,5000,"RM, LM, CAM",85.0,62.0,64.0,74.0,32.0,61.0,67.4,59.2,78.6,69.2,49.5,31.333333333333332,10.8,D. Horgan,Daryl Horgan
29,170,69,Bermuda,Queens Park Rangers,7000,ST,78.0,68.0,63.0,71.0,46.0,63.0,65.0,65.0,76.2,66.6,66.5,39.333333333333336,9.4,N. Wells,Nahki Wells
27,170,65,DR Congo,Fulham,25000,"LW, LM, CAM",80.0,66.0,65.0,74.0,39.0,54.0,69.8,64.2,77.0,61.2,58.666666666666664,34.333333333333336,14.6,N. Kebano,Neeskens Kebano
29,187,78,Korea Republic,Seattle Sounders FC,5000,"CB, RB",66.0,43.0,60.0,47.0,68.0,73.0,50.4,53.6,62.8,63.8,60.333333333333336,67.0,11.6,Kim Kee Hee,김기희 金基熙
32,193,93,Germany,SV Sandhausen,4000,CB,53.0,29.0,44.0,39.0,69.0,78.0,36.6,41.8,49.4,56.0,45.833333333333336,69.0,12.0,T. Kister,Tim Kister
29,189,95,Cyprus,Gangwon FC,3000,"CB, CDM",72.0,44.0,58.0,59.0,67.0,80.0,51.2,51.0,67.2,71.4,56.5,68.33333333333333,13.0,V. Sielis,Valentinos Sielis
30,191,83,Argentina,San Lorenzo de Almagro,10000,CB,37.0,38.0,61.0,60.0,71.0,73.0,54.8,50.6,45.6,53.6,59.666666666666664,71.33333333333333,8.0,S. Vergini,Santiago Vergini
28,167,68,Italy,Perugia,3000,"CM, RW",88.0,64.0,66.0,76.0,58.0,63.0,65.0,58.2,85.8,65.8,63.333333333333336,60.0,13.8,M. Falzerano,Marcello Falzerano
28,182,76,Guinea,Gençlerbirliği SK,11000,"CAM, CM, ST",74.0,70.0,68.0,70.0,49.0,69.0,71.0,67.4,69.6,72.4,60.0,43.0,11.4,S. Diallo,Abdoulaye Sadio Diallo
30,179,73,France,Grenoble Foot 38,5000,"ST, LW",74.0,68.0,65.0,69.0,20.0,59.0,61.8,68.2,72.2,65.4,51.666666666666664,14.666666666666666,10.4,F. Raspentino,Florian Raspentino
29,175,68,Spain,Deportivo de La Coruña,6000,RB,75.0,46.0,60.0,63.0,64.0,72.0,58.4,54.4,70.8,65.6,57.166666666666664,64.66666666666667,10.6,David Simón,David Simón Rodríguez Santana
30,189,83,Scotland,Derby County,14000,LB,63.0,63.0,63.0,65.0,70.0,70.0,60.6,64.0,60.6,69.2,60.333333333333336,70.0,9.2,C. Forsyth,Craig Forsyth
28,185,76,Ghana,FC Dallas,5000,"RM, RW",90.0,66.0,62.0,69.0,37.0,66.0,60.8,59.6,77.6,69.0,54.0,36.0,10.6,E. Gyasi,Edwin Gyasi
30,180,71,Northern Ireland,Heart of Midlothian,5000,"RB, CB, RWB",72.0,43.0,64.0,68.0,68.0,76.0,59.4,53.6,73.6,66.0,64.33333333333333,68.0,11.8,M. Smith,Michael Smith
28,192,79,Netherlands,ADO Den Haag,6000,CB,44.0,39.0,46.0,47.0,69.0,77.0,43.0,46.0,43.2,60.8,56.0,68.33333333333333,11.4,T. Beugelsdijk,Tom Beugelsdijk
29,185,77,Curacao,Everton,35000,"RB, LB",63.0,52.0,65.0,64.0,70.0,73.0,59.6,59.0,64.0,70.6,62.166666666666664,70.66666666666667,13.4,C. Martina,Rhu-endly Martina
33,180,73,Colombia,Universidad Católica,8000,"ST, RW",78.0,66.0,57.0,68.0,39.0,76.0,60.4,63.0,73.0,74.2,56.166666666666664,39.0,8.8,D. Riascos,Duvier Orlando Riascos Barahona
28,186,75,Slovakia,Ettifaq FC,15000,"CDM, CM",41.0,59.0,60.0,66.0,66.0,79.0,58.4,53.6,54.6,71.4,65.33333333333333,67.33333333333333,10.4,F. Kiss,Filip Kiss
30,189,82,Brazil,Al Faisaly,13000,CB,46.0,30.0,54.0,52.0,69.0,81.0,49.4,47.0,45.6,61.6,54.5,68.0,13.6,Igor Rossi,Igor Rossi Branco
32,176,70,São Tomé & Príncipe,Newell's Old Boys,11000,"ST, RM",69.0,71.0,62.0,66.0,34.0,72.0,64.0,66.0,70.8,70.8,61.333333333333336,29.0,10.6,Luís Leal,Luís Leal dos Anjos
27,178,76,Germany,SV Wehen Wiesbaden,9000,RB,83.0,51.0,69.0,68.0,62.0,68.0,68.4,57.4,77.0,66.0,61.0,63.666666666666664,11.2,M. Kuhn,Moritz Kuhn
30,174,69,Chile,CD Palestino,3000,"CM, CDM",68.0,66.0,71.0,75.0,50.0,62.0,72.8,63.4,70.4,66.8,65.83333333333333,48.0,12.0,C. Jorquera,Cristóbal Andrés Jorquera Torres
28,183,74,Italy,Ascoli,3000,"RB, CB, RM",72.0,45.0,59.0,68.0,67.0,71.0,59.4,55.6,73.4,62.4,57.166666666666664,68.33333333333333,11.2,R. Pucino,Raffaele Pucino
30,178,74,Sweden,IF Elfsborg,4000,LM,75.0,66.0,65.0,73.0,39.0,58.0,67.0,58.4,74.4,65.0,56.0,40.0,9.8,S. Lundevall,Simon Lundevall
28,180,72,Bosnia Herzegovina,Servette FC,8000,RM,79.0,60.0,68.0,70.0,38.0,61.0,67.4,64.4,72.4,60.8,59.666666666666664,32.666666666666664,11.8,M. Stevanović,Miroslav Stevanović
27,194,84,Israel,Celtic,24000,"CDM, CB",50.0,50.0,63.0,65.0,69.0,73.0,59.6,52.8,51.2,68.8,62.333333333333336,69.33333333333333,9.8,N. Bitton,Nir Bitton
36,191,90,Colombia,Atlético Nacional,2000,CB,30.0,36.0,45.0,38.0,71.0,70.0,41.6,40.6,38.2,48.4,54.166666666666664,69.0,11.2,A. Henríquez,Alexis Henríquez
35,183,78,Colombia,Atlético Bucaramanga,1000,"CM, CDM",48.0,59.0,70.0,64.0,63.0,70.0,62.2,59.2,55.6,67.0,66.5,64.0,9.8,R. Robayo,Rafael Robayo
28,171,68,Brazil,DC United,5000,"CM, CDM",56.0,65.0,71.0,69.0,61.0,71.0,69.8,61.0,65.6,67.2,67.16666666666667,62.666666666666664,10.4,Felipe,Felipe Martins
29,167,67,Korea Republic,Sangju Sangmu FC,3000,"LM, CM",86.0,60.0,61.0,72.0,42.0,64.0,59.6,56.2,81.8,69.6,59.666666666666664,38.0,11.8,Shim Dong Woon,심원운 沈东云
28,172,74,Germany,SV Darmstadt 98,11000,LB,73.0,45.0,61.0,68.0,69.0,71.0,63.8,53.2,74.2,66.6,57.166666666666664,71.33333333333333,11.6,F. Holland,Fabian Holland
27,172,70,Israel,Eintracht Frankfurt,16000,"LB, LWB",70.0,40.0,63.0,72.0,67.0,64.0,59.0,54.6,72.2,56.4,53.666666666666664,69.66666666666667,9.8,T. Tawatha,Taleb Tawatha
34,184,78,Argentina,UD Las Palmas,6000,CB,33.0,42.0,53.0,57.0,71.0,69.0,56.8,55.2,49.0,57.6,55.5,68.0,11.0,M. Mantovani,Martín Maximiliano Mantovani
28,184,70,Poland,Zagłębie Lubin,4000,"CAM, CM",39.0,65.0,74.0,72.0,48.0,61.0,73.6,62.4,55.8,70.0,63.833333333333336,42.666666666666664,11.2,F. Starzyński,Filip Starzyński
28,183,83,Germany,VfL Bochum 1848,11000,"LM, ST",84.0,71.0,61.0,74.0,29.0,64.0,69.6,62.0,75.8,68.4,52.5,26.0,10.0,D. Blum,Danny Blum
29,184,77,France,AJ Auxerre,4000,LB,64.0,57.0,70.0,63.0,67.0,75.0,60.6,60.2,61.6,71.6,62.333333333333336,67.0,12.6,Q. Bernard,Quentin Bernard
33,185,76,Saudi Arabia,Al Nassr,18000,CB,66.0,29.0,45.0,48.0,67.0,81.0,38.6,39.4,64.2,62.4,54.333333333333336,65.66666666666667,9.2,O. Hawsawi,Omar Ibrahim Omar Othman Hawsawi
29,165,63,Saudi Arabia,Al Nassr,21000,"RM, CAM, LM",69.0,64.0,70.0,72.0,34.0,55.0,68.4,61.6,70.6,58.6,58.666666666666664,32.666666666666664,13.2,Y. Al Shehri,Yahia Sulaiman Al Shehri
31,173,65,Saudi Arabia,Al Ahli,20000,"CAM, CM, CDM",61.0,64.0,69.0,71.0,55.0,68.0,64.0,63.0,68.4,68.6,59.5,53.0,12.2,H. Al Moqahwi,Hussain Al Moqahwi
27,179,74,Italy,Perugia,3000,ST,79.0,67.0,58.0,68.0,22.0,65.0,62.2,63.2,74.0,68.2,52.5,16.666666666666668,10.2,P. Iemmello,Pietro Iemmello
33,188,87,Colombia,Independiente Medellín,2000,CB,37.0,39.0,48.0,43.0,68.0,73.0,43.8,46.6,43.4,56.4,57.166666666666664,66.66666666666667,10.4,A. Cadavid,Andrés Cadavid
30,180,81,Colombia,Tiburones Rojos de Veracruz,5000,CB,66.0,49.0,48.0,55.0,69.0,75.0,47.8,50.2,62.6,64.8,57.333333333333336,67.0,12.4,L. Jiménez,Leiton Jiménez
30,183,78,Italy,Cosenza,2000,CM,76.0,69.0,69.0,69.0,66.0,73.0,67.4,69.6,71.8,74.4,65.0,65.33333333333333,9.6,D. Sciaudone,Daniele Sciaudone
